State,avg_ed_wait_minutes,hospital_count
DC,330.0,6
PR,281.7,7
MD,245.0,40
MA,221.9,54
RI,220.5,10
DE,219.7,6
NY,201.5,139
CT,196.6,25
NJ,186.6,60
PA,185.6,138
CA,183.4,266
NC,183.2,94
AZ,181.6,61
IL,175.5,154
VT,175.1,9
WA,171.7,74
GA,168.9,123
NM,168.3,32
NH,165.5,26
VA,164.9,79
ME,163.2,30
SC,162.3,52
TN,161.8,90
OH,161.0,139
MI,160.5,118
OR,159.6,54
MO,159.6,98
GU,154.0,1
FL,154.0,176
AL,152.6,81
IN,149.3,106
NV,147.7,35
KY,147.2,82
WV,145.8,44
TX,145.8,328
CO,137.9,75
WI,135.6,118
AR,135.5,67
LA,135.2,89
MN,133.9,120
AK,133.9,17
MS,133.5,69
UT,132.8,44
ID,131.1,38
WY,127.7,22
IA,127.1,111
OK,122.9,98
KS,122.6,116
MT,120.4,56
HI,119.0,20
NE,118.5,83
SD,114.9,50
ND,114.3,43
