Hospital Name,State,Hospital Type,star_rating,ed_wait_minutes,patient_sample
TENNOVA HEALTHCARE-SHELBYVILLE,TN,Acute Care Hospitals,1,123,385
SOUTH CENTRAL REG MED CTR,MS,Acute Care Hospitals,1,129,425
LOWER KEYS MEDICAL CENTER,FL,Acute Care Hospitals,1,135,387
BARBOURVILLE ARH HOSPITAL,KY,Critical Access Hospitals,1,137,436
HARLEM HOSPITAL CENTER,NY,Acute Care Hospitals,1,142,343
SINAI-GRACE HOSPITAL,MI,Acute Care Hospitals,1,143,384
DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,MI,Acute Care Hospitals,1,143,355
SOUTH BAY HOSPITAL,FL,Acute Care Hospitals,1,146,394
ST MARY'S MEDICAL CENTER,FL,Acute Care Hospitals,1,159,425
BAY AREA HOSPITAL,OR,Acute Care Hospitals,1,160,404
SUNRISE HOSPITAL AND MEDICAL CENTER,NV,Acute Care Hospitals,1,164,333
NASSAU UNIVERSITY MEDICAL CENTER,NY,Acute Care Hospitals,1,164,246
CAPITAL HEALTH SYSTEM-FULD CAMPUS,NJ,Acute Care Hospitals,1,166,352
UNIVERSITY HOSPITAL OF BROOKLYN ( DOWNSTATE ),NY,Acute Care Hospitals,1,166,397
ST ROSE HOSPITAL,CA,Acute Care Hospitals,1,167,352
BELLEVUE HOSPITAL CENTER,NY,Acute Care Hospitals,1,168,373
HURLEY MEDICAL CENTER,MI,Acute Care Hospitals,1,169,276
NEWARK BETH ISRAEL MEDICAL CENTER,NJ,Acute Care Hospitals,1,169,402
PROVIDENCE MEMORIAL HOSPITAL,TX,Acute Care Hospitals,1,169,462
HOLY CROSS HOSPITAL,IL,Acute Care Hospitals,1,170,361
CONEY ISLAND HOSPITAL,NY,Acute Care Hospitals,1,170,401
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,NJ,Acute Care Hospitals,1,174,407
ST ROSE DOMINICAN HOSPITALS - SIENA CAMPUS,NV,Acute Care Hospitals,1,175,365
NORTH SHORE MEDICAL CENTER,FL,Acute Care Hospitals,1,176,365
UNIVERSITY OF MISSISSIPPI MED CENTER,MS,Acute Care Hospitals,1,180,348
RENOWN REGIONAL MEDICAL CENTER,NV,Acute Care Hospitals,1,180,369
STATEN ISLAND UNIVERSITY HOSPITAL,NY,Acute Care Hospitals,1,180,377
HIGHLAND HOSPITAL,CA,Acute Care Hospitals,1,182,706
VALLEY HOSPITAL MEDICAL CENTER,NV,Acute Care Hospitals,1,182,335
ORANGE COUNTY GLOBAL MEDICAL CENTER,CA,Acute Care Hospitals,1,183,448
UNIVERSITY OF TOLEDO MEDICAL CENTER,OH,Acute Care Hospitals,1,183,383
BRONX-LEBANON HOSPITAL CENTER,NY,Acute Care Hospitals,1,184,619
"MOUNTAIN VISTA MEDICAL CENTER, LP",AZ,Acute Care Hospitals,1,186,590
UF HEALTH JACKSONVILLE,FL,Acute Care Hospitals,1,186,376
PIEDMONT MEDICAL CENTER,SC,Acute Care Hospitals,1,188,859
BROOKLYN HOSPITAL CENTER AT DOWNTOWN CAMPUS,NY,Acute Care Hospitals,1,193,368
RIDEOUT MEMORIAL HOSPITAL,CA,Acute Care Hospitals,1,194,386
UNIVERSITY OF LOUISVILLE HOSPITAL,KY,Acute Care Hospitals,1,198,842
ST ELIZABETH YOUNGSTOWN HOSPITAL,OH,Acute Care Hospitals,1,199,358
MONTEFIORE MEDICAL CENTER,NY,Acute Care Hospitals,1,200,405
POTTSTOWN MEMORIAL MEDICAL CENTER,PA,Acute Care Hospitals,1,200,388
DANVILLE REGIONAL MEDICAL CENTER,VA,Acute Care Hospitals,1,200,401
ST JOSEPH'S MEDICAL CENTER,NY,Acute Care Hospitals,1,202,299
CANYON VISTA MEDICAL CENTER,AZ,Acute Care Hospitals,1,203,676
O U MEDICAL CENTER,OK,Acute Care Hospitals,1,203,367
JACKSON MEMORIAL HOSPITAL,FL,Acute Care Hospitals,1,204,2084
RICHMOND UNIVERSITY MEDICAL CENTER,NY,Acute Care Hospitals,1,206,341
PALISADES MEDICAL CENTER,NJ,Acute Care Hospitals,1,207,361
HENRY FORD HOSPITAL,MI,Acute Care Hospitals,1,214,359
FAXTON-ST LUKE'S HEALTHCARE,NY,Acute Care Hospitals,1,215,377
PECONIC BAY MEDICAL CENTER,NY,Acute Care Hospitals,1,216,368
HEMET VALLEY MEDICAL CENTER,CA,Acute Care Hospitals,1,217,441
JACOBI MEDICAL CENTER,NY,Acute Care Hospitals,1,217,366
FLUSHING HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,1,217,395
WYCKOFF HEIGHTS MEDICAL CENTER,NY,Acute Care Hospitals,1,220,419
ST BERNARDS MEDICAL CENTER,AR,Acute Care Hospitals,1,223,399
ST JOSEPH'S REGIONAL MEDICAL CENTER,NJ,Acute Care Hospitals,1,224,708
BROOKDALE HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,1,228,386
ST JOHN'S EPISCOPAL HOSPITAL AT SOUTH SHORE,NY,Acute Care Hospitals,1,229,334
FRANCISCAN ST JAMES HEALTH,IL,Acute Care Hospitals,1,230,337
HOWARD UNIVERSITY HOSPITAL,DC,Acute Care Hospitals,1,232,461
COLUMBIA MEMORIAL HOSPITAL,NY,Acute Care Hospitals,1,234,362
MERCY MEDICAL CENTER,NY,Acute Care Hospitals,1,236,462
GOOD SAMARITAN HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,1,236,394
JAMAICA HOSPITAL MEDICAL CENTER,NY,Acute Care Hospitals,1,237,375
UNIVERSITY MEDICAL CENTER,NV,Acute Care Hospitals,1,240,357
"OUR LADY OF LOURDES MEMORIAL HOSPITAL, INC",NY,Acute Care Hospitals,1,240,412
WESTCHESTER MEDICAL CENTER,NY,Acute Care Hospitals,1,242,717
JACKSON PARK HOSPITAL,IL,Acute Care Hospitals,1,244,338
ST ANTHONY'S MEDICAL CENTER,MO,Acute Care Hospitals,1,246,409
QUEENS HOSPITAL CENTER,NY,Acute Care Hospitals,1,246,390
UNIVERSITY HEALTH SHREVEPORT,LA,Acute Care Hospitals,1,247,282
LINCOLN MEDICAL & MENTAL HEALTH CENTER,NY,Acute Care Hospitals,1,248,311
UAMS MEDICAL CENTER,AR,Acute Care Hospitals,1,253,2963
TRINITY HOSPITALS,ND,Acute Care Hospitals,1,254,336
ELMHURST HOSPITAL CENTER,NY,Acute Care Hospitals,1,256,344
KINGS COUNTY HOSPITAL CENTER,NY,Acute Care Hospitals,1,260,359
ANTELOPE VALLEY HOSPITAL,CA,Acute Care Hospitals,1,266,346
AU MEDICAL CENTER,GA,Acute Care Hospitals,1,269,325
SOUTHSIDE HOSPITAL,NY,Acute Care Hospitals,1,269,279
ALLEGHENY GENERAL HOSPITAL,PA,Acute Care Hospitals,1,274,453
UNITED MEDICAL CENTER,DC,Acute Care Hospitals,1,277,163
UNM HOSPITAL,NM,Acute Care Hospitals,1,279,323
UNIVERSITY HOSPITAL S U N Y HEALTH SCIENCE CENTER,NY,Acute Care Hospitals,1,284,431
PHOEBE PUTNEY MEMORIAL HOSPITAL,GA,Acute Care Hospitals,1,287,442
KERN MEDICAL CENTER,CA,Acute Care Hospitals,1,293,300
UNIVERSITY HOSPITAL,NJ,Acute Care Hospitals,1,294,337
UMASS MEMORIAL MEDICAL CENTER INC,MA,Acute Care Hospitals,1,296,366
BANNER-UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,AZ,Acute Care Hospitals,1,306,370
SAN FRANCISCO GENERAL HOSPITAL,CA,Acute Care Hospitals,1,319,322
UNIVERSITY OF ILLINOIS HOSPITAL,IL,Acute Care Hospitals,1,319,359
GRADY MEMORIAL HOSPITAL,GA,Acute Care Hospitals,1,324,332
SSM HEALTH SAINT LOUIS UNIVERSITY HOSPITAL,MO,Acute Care Hospitals,1,336,264
MEDSTAR GEORGETOWN UNIVERSITY HOSPITAL,DC,Acute Care Hospitals,1,371,381
UNIVERSITY HEALTH SYSTEM,TX,Acute Care Hospitals,1,374,351
