State,hospitals_graded,measures_graded,measures_worse,measures_better,pct_measures_worse,pct_measures_better
MP,1,5,3,0,60.0,0.0
VI,2,8,3,0,37.5,0.0
GU,1,6,2,0,33.3,0.0
PR,43,70,17,1,24.3,1.4
NJ,62,525,121,33,23.0,6.3
MA,57,472,104,27,22.0,5.7
FL,177,1344,287,102,21.4,7.6
NY,149,1096,227,68,20.7,6.2
MS,79,406,71,20,17.5,4.9
WV,45,265,46,16,17.4,6.0
CT,26,226,38,13,16.8,5.8
CA,309,1995,336,145,16.8,7.3
IL,171,1134,187,71,16.5,6.3
DC,7,57,9,1,15.8,1.8
HI,12,96,15,7,15.6,7.3
NV,30,198,30,10,15.2,5.1
MD,44,362,55,39,15.2,10.8
KY,87,527,74,30,14.0,5.7
AL,76,464,65,31,14.0,6.7
AR,68,367,51,40,13.9,10.9
GA,116,742,101,58,13.6,7.8
VA,80,607,78,62,12.9,10.2
AZ,76,482,61,38,12.7,7.9
OH,150,1093,137,90,12.5,8.2
TX,317,1809,225,149,12.4,8.2
LA,100,538,64,34,11.9,6.3
AK,17,93,11,7,11.8,7.5
NH,26,180,21,11,11.7,6.1
SC,56,396,46,30,11.6,7.6
MO,99,668,77,52,11.5,7.8
TN,90,577,63,55,10.9,9.5
NC,102,741,81,73,10.9,9.9
MI,121,837,90,71,10.8,8.5
PA,148,1149,123,107,10.7,9.3
VT,15,95,10,11,10.5,11.6
RI,11,88,9,6,10.2,6.8
NM,36,192,19,22,9.9,11.5
IN,112,778,74,76,9.5,9.8
OR,55,353,32,45,9.1,12.7
ME,31,168,15,16,8.9,9.5
WA,79,508,44,58,8.7,11.4
OK,107,521,43,64,8.3,12.3
DE,7,61,5,8,8.2,13.1
ND,37,149,11,22,7.4,14.8
WI,120,708,52,78,7.3,11.0
IA,114,532,37,58,7.0,10.9
NE,81,351,23,32,6.6,9.1
MN,110,542,33,50,6.1,9.2
KS,120,532,32,66,6.0,12.4
CO,81,462,26,73,5.6,15.8
WY,26,127,7,12,5.5,9.4
MT,41,194,8,28,4.1,14.4
SD,52,196,5,25,2.6,12.8
ID,40,202,5,34,2.5,16.8
UT,45,252,2,62,0.8,24.6
